patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
123-995-305-211-561,METHOD OF ADJUSTING EPITAXIAL GROWTH IN A VACUUM OF DOPED SILICON LAYERS AND A RESISTIVE EVAPORATION UNIT FOR ITS IMPLEMENTATION,"FIELD: electrical engineering.SUBSTANCE: invention relates to production of semiconductor structures for electronic equipment and can be used for control of doping degree in epitaxial growth in vacuum of doped silicon layers. In the method of controlling the degree of doping in the epitaxial growth in vacuum of doped silicon layers by controlling the pressure of the vapor stream supplied to the substrate from the heated resistive sources of silicon vapor and the vapor source of the alloying element as a result of changing their temperature, said temperature change of said vapor sources is carried out at invariable but different degrees of their resistive heating by movement of a heat shield located between them, leading to change in the cross-section area of the heat radiation flux between them. At that, in the evaporation resistive unit containing the resistors of the silicon vapor source and the alloying element vapor source installed in the vacuum chamber, installed so that the vapor flow from them can be directed to the substrate, as well as heat shield arranged between them, the latter is installed with possibility of movement between the mentioned vapor sources, leading to change of cross-section area of radiative heat flux between them, which is caused by difference in degrees of their invariable resistive heating, and the vacuum chamber is equipped with means of initial limitation of passage of the specified radiating heat flow in its cross section with giving to the latter the form ensuring standardization of the specified change of the area of this cross-section.EFFECT: high technological effectiveness of controlling the degree of alloying during epitaxial growth in vacuum of doped silicon layers.5 cl, 2 dwg",H01L21/203,H01L21/203; H01L21/203; H01L21/203,180-307-690-513-19X; 171-033-000-070-650; 116-446-678-732-903; 095-104-266-297-618; 038-306-898-391-467,,2019
082-136-529-151-35X,Display device,"The present invention provides a display device for conformal mounting on a curved surface inclined at an oblique angle relative to a horizontal plane. The display device comprises: a plurality of pixels, a first set of conductive lines connected to the plurality of pixels; and a second set of conductive lines connected to the plurality of pixels, wherein the first set of conductive lines and thesecond set of conductive lines are arranged to define a shape of each of the plurality of pixels such that the pixels appear, to a viewer, to extend at least one of horizontally or vertically across the display device when the display device is mounted on the curved surface.",G09G3/36; G09G3/32; G09G3/3208; H10K99/00,G09G3/32; B60K35/22; B60K35/28; G09G3/3208; G09G3/3607; G09G3/3225; B60K35/211; B60K35/22; B60K35/223; B60K35/28; B60K2360/1523; B60K2360/788; B60R11/0235; B60R2011/0026; G02F1/133305; G02F1/134309; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2380/02; H10K2102/311; Y02E10/549; Y02P70/50; H01L27/3297; H01L27/3297; H01L27/3297; B60K35/22; B60K35/28; B60R1/00; G02F1/134309; H10K59/131; H10K59/179; G09G3/3225; B60K35/22; B60K35/28; G02F1/133305; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2300/0439; G09G2380/02; H10K59/131; H10K59/179; H10K77/111,095-920-531-036-351; 092-858-712-102-430; 015-576-931-640-222; 022-949-197-217-560; 162-946-292-326-629; 109-123-889-916-980; 093-776-272-249-574; 030-338-192-517-246; 174-036-916-416-44X; 190-868-255-866-241,,2019
018-562-387-257-976,Display Device,"A display device for conformal mounting on a curved surface inclined at an oblique angle relative to a horizontal plane, the display device comprising: a plurality of pixels, a first set of conductive lines connected to the plurality of pixels; and a second set of conductive lines connected to the plurality of pixels, wherein the first set of conductive lines and the second set of conductive lines are arranged to define a shape of each of the plurality of pixels such that the pixels appear, to a viewer, to extend at least one of horizontally or vertically across the display device when the display device is mounted on the curved surface.",G09G3/36; G02F1/1333; G02F1/1362; G09G3/3216; G09G3/3225; H10K99/00,G09G3/32; B60K35/22; B60K35/28; G09G3/3208; G09G3/3607; G09G3/3225; B60K35/211; B60K35/22; B60K35/223; B60K35/28; B60K2360/1523; B60K2360/788; B60R11/0235; B60R2011/0026; G02F1/133305; G02F1/134309; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2380/02; H10K2102/311; Y02E10/549; Y02P70/50; H01L27/3297; H01L27/3297; H01L27/3297; B60K35/22; B60K35/28; B60R1/00; G02F1/134309; H10K59/131; H10K59/179; G09G3/3225; B60K35/22; B60K35/28; G02F1/133305; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2300/0439; G09G2380/02; H10K59/131; H10K59/179; H10K77/111,030-338-192-517-246; 006-391-163-786-650,094-136-817-938-718,2019
188-155-900-605-932,ACTIVELY COOLED VACUUM ISOLATION VALVE,"A cooled isolation valve includes a valve body, a stationary element coupled to the valve body, and a movable closure element movable with respect to the stationary element between a closed position in which the movable closure element and the stationary element are brought together and an open position. One of the movable closure element and the stationary element includes a sealing element. In the closed position of the movable closure element, the sealing element provides a seal between the movable closure element and the stationary element. A fluid channel is formed in contact with the movable closure element and movable with the movable closure element with respect to the stationary element, such that a fluid in the fluid channel effects heat transfer in the movable closure element. A bellows of the isolation valve can include a metallic substrate with a ceramic coating.",F16K49/00; F16K1/12; F16K1/22; F16K1/46; F16K3/06; F16K31/122; F16K41/10; F16K51/02,F16K49/007; F16K1/222; F16K1/46; F16K3/06; F16K31/1221; F16K41/10; F16K51/02; H01L21/205; H01L21/205; H01L21/205; F16K5/103; H10P72/0431; F16K49/007; F16K1/126; F16K1/22; F16K1/222; F16K1/46; F16K3/06; F16K31/1221; F16K41/10; F16K51/02; Y10T137/6579,,060-367-105-930-958; 117-076-619-306-876; 029-409-024-585-434; 063-778-505-232-257; 148-971-798-247-642,2019
123-511-191-647-987,Display device,"A display 500 has a first and second set of conductive lines arranged to define the shape of pixels. The shape is determined so that when the display is conformally mounted on a curved surface inclined at an oblique angle relative to a horizontal plane, the pixels appear to a viewer to extend across the display parallel or perpendicular to the horizontal plane. The pixel shape may be a parallelogram with opposing angles corresponding to the angle of inclination, a rhombus or rhomboid. The display may be flexible, a liquid crystal display, LCD, or an organic light emitting diode, OLED, active or passive matrix array. A manufacturing method may include projecting a grid onto a 3D computer model of the curved surface, and arranging the conducing lines according to resulting grid distortion. The display may be mounted to a car A-pillar, or used in other vehicles such as a plane.",B60R1/00; H10K99/00,G09G3/32; B60K35/22; B60K35/28; G09G3/3208; G09G3/3607; G09G3/3225; B60K35/211; B60K35/22; B60K35/223; B60K35/28; B60K2360/1523; B60K2360/788; B60R11/0235; B60R2011/0026; G02F1/133305; G02F1/134309; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2380/02; H10K2102/311; Y02E10/549; Y02P70/50; H01L27/3297; H01L27/3297; H01L27/3297; B60K35/22; B60K35/28; B60R1/00; G02F1/134309; H10K59/131; H10K59/179; G09G3/3225; B60K35/22; B60K35/28; G02F1/133305; G02F1/136286; G09G3/3216; G09G3/3622; G09G3/3648; G09G2300/0426; G09G2300/0439; G09G2380/02; H10K59/131; H10K59/179; H10K77/111,030-338-192-517-246; 006-391-163-786-650,,2019
167-748-021-419-14X,HETEROSTRUCTURE FORMATION METHOD,"FIELD: instrument engineering.SUBSTANCE: invention relates to production of semiconductor devices, particularly to production of heterostructures with low density of defects. Disclosed is a method of forming an InAs heterostructure on GaAs substrates by feeding triethylindium and arsine at substrate temperature 600 °C with arsine flow rate of 15 ml/min, with hydrogen flow rate through bubbler and triethylindium of 2.5 l/min at film growth rate of 1 nm/s with subsequent annealing for 60 s in nitrogen flow at temperature of 700 °C.EFFECT: disclosed method of forming an InAs heterostructure on GaAs substrates enables to increase the percentage of suitable structures and improves reliability thereof.1 cl",H01L21/205,H01L21/205; H01L21/205; H01L21/205; H10P14/20,125-849-150-837-099; 085-698-074-566-738; 090-218-350-052-596; 193-719-341-389-12X; 081-607-931-648-446; 033-590-721-592-369,,2019
135-168-910-531-009,IMPROVEMENTS IN OR RELATING TO VACUUM PUMPING ARRANGEMENTS,,F04C25/02,F04C25/02; F04C2220/30; F04C25/02; F04C23/003; F04C2220/30; C23C16/4405; F04C25/02; C23C16/4412; F04C23/001; F04C2220/30; H01L21/205; H01L21/205; H01L21/205; F04C25/02; F04C2220/30; F04C25/02; C23C16/4405; C23C16/4412; F04C23/001; F04C23/003; F04C2220/30; F16K15/00; H10P72/0451,,033-838-214-464-908; 002-760-095-719-311,2019
158-271-877-178-783,METHOD FOR GROWING MULTILAYER NANOHETEROEPITAXIAL STRUCTURES WITH ARRAYS OF IDEAL QUANTUM DOTS IN VERTICAL REACTOR,"FIELD: chemistry.SUBSTANCE: invention relates to nanotechnology and specifically to a method of growing multilayer nanoheteroepitaxial structures with arrays of ideal quantum dots (NHES of IQD). Method is based on processes of dissolution and crystallisation of semiconductor and metal materials from solutions-melts of low-melting metals. Method for growing multilayer nanoheteroepitaxial structures in a vertical reactor with arrays of ideal quantum dots by liquid-phase epitaxy in a stream of hydrogen or forming gas includes heating of containers with different solutions of crystallisable materials in melts of low-melting metals to their saturation temperature and monocrystalline substrate to the same temperature, wherein substrate is tightly attached by rear surface to lower base of cylinder by creation of vacuum, successive bringing of solution-melts into contact with front surface of substrate at multiple transfer by heat absorber in form of plate of cold pulses on back surface of substrate for growing epitaxial layers and arrays of quantum dots, growing epitaxial layers or arrays of ideal quantum dots from volume of solution-melt, limited by inner walls of lower base of cylinder, front surface of substrate and floating on surface of solution-melt plate with holes, through which both filling and removal of residual solution-melt in same containers during rotation of cylinder with substrate around its vertical axis, transfer of heat pulse by heat heater to back surface of substrate, value of which is less than cold pulse for dissolution of mechanically stressed wetting layers located between quantum points, removal of remnants of melt solutions from an epitaxial layer or an array of quantum dots after each growing process, subsequent growth of ohmic contacts through holes in a floating plate, in contact with the surface of the multilayer structure with multiple pulse cooling by the heat absorber of the back surface of the substrate, wherein stabilization of temperature in the vertical reactor, where containers with different solution-melts and substrate are arranged, are carried out along the vertical axis of the reactor screens in the form of plates with offset from each other holes from high-heat conducting material, temperature stabilization in cylinder is carried out with high-temperature-conducting material of cylinder, and temperature stabilization of ""cold"" pulse, which without medium resistance is repeatedly transferred by heat absorber inside cylinder from heated ""cold"" plate to back surface of substrate and back, is carried out with a ""cold"" plate with high heat conductivity, having a stable temperature due to a cascade of ""cold"" plates adjacent to it.EFFECT: invention provides growing multi-layer NHES of IQD and building ohmic contacts on structure surface without using photolithography, as well as efficient removal of solution-melts and stressed wetting layers from gaps between quantum dots, including from metal quantum dots, by rotation of cylinder with substrate around its vertical axis.1 cl, 6 dwg, 2 ex",C30B19/08; B82B3/00; B82Y40/00; C30B19/10; C30B19/12; C30B29/42; C30B29/44; H01L21/02; H01L21/208,H10P14/265; H10P14/263; H10P14/3452; B82B3/0004; B82B3/0009; B82Y40/00; C30B19/062; C30B19/068; C30B19/08; C30B19/10; C30B19/12; C30B29/42; C30B29/44; H01L21/2085; H01L21/2085; H01L21/2085; H10P14/3418; H10P14/3421; H10P14/3461,092-032-538-776-964; 122-661-536-807-008; 148-087-518-678-53X,181-776-565-639-023; 145-241-634-957-492,2019
125-695-309-176-976,Crystalline multilayer structure and semiconductor device,,H01L29/66; H01L21/02; H01L29/04; H01L29/06; H01L29/10; H01L29/24; H01L29/739; H01L29/772; H01L29/778; H01L29/78; H01L29/808; H01L29/812; H01L29/872; H01L33/26; H01L33/42,H10D8/60; C23C16/40; H01L21/205; H01L21/205; H01L21/205; H10D8/051; H10D30/015; H10H20/032; H10P14/2921; H10D8/60; H10D12/411; H10D30/202; H10D30/4755; H10D30/60; H10D30/635; H10D30/668; H10D30/831; H10D30/87; H10D62/106; H10D62/343; H10D62/40; H10D62/80; H10D99/00; H10H20/032; H10H20/822; H10H20/833; H10P14/2926; H10P14/3426; H10P14/3434; H10P14/3438; H10P14/3446; H10D62/86; H10D8/60; H10D12/411; H10D30/202; H10D30/4755; H10D30/60; H10D30/635; H10D30/668; H10D30/831; H10D30/87; H10D62/106; H10D62/343; H10D62/40; H10D62/80; H10D99/00; H10H20/032; H10H20/822; H10H20/833; H10P14/2921; H10P14/2926; H10P14/3426; H10P14/3434; H10P14/3438; H10P14/3446,,,2019
161-713-481-347-783,形成半导体图案和半导体层的方法,本发明提供了形成半导体图案和半导体层的方法。所述方法可包括：在衬底上形成氧化物层；以及在氧化物层和衬底内形成凹部。所述方法可以进一步包括在凹部内形成外延生长的半导体图案，该半导体图案接触衬底的在氧化物层和衬底之间的界面处的侧壁，并且限定衬底内的凹部中的空隙的上表面。,H01L21/02; H01L21/20,H10P14/20; H01L21/2018; H01L21/2018; H01L21/2018; H10P14/27,,,2019
182-935-889-775-533,一种柔性显示基板和柔性显示装置,本发明描述了一种柔性显示基板和一种柔性显示装置。其中，柔性显示基板具有显示区和相邻的周边区，显示区包括多个像素单元，柔性显示基板包括：衬底基板和设置于衬底基板上的至少一条导电走线，导电走线包括至少两个第一导电部和至少一个第二导电部，相邻的两个第一导电部通过第二导电部电连接；其中，第一导电部的杨氏模量大于第二导电部的杨氏模量，并且第一导电部的电阻率小于第二导电部的电阻率。本发明提供的柔性显示基板中，导电走线不易发生折断，从而提高了柔性显示基板耐弯折性能，增大了柔性显示基板可承受的形变量，延长了柔性显示基板的寿命。,H10K99/00,H10K59/40; H01L27/3297; H01L27/3297; H01L27/3297; H10K59/131; H10K2102/311; H10K77/111; H10K59/131; H10K59/40; H10K2102/311; Y02E10/549; H10K77/111; H10K59/131; H10K59/40; H10K2101/00; H10K2102/311,,,2019
162-342-865-146-979,提高氮化镓基功率器件击穿电压的外延方法,一种提高氮化镓基功率器件击穿电压的外延方法，所述外延方法包括：提供衬底；采用原子层沉积工艺，在所述衬底表面形成缓冲层；在所述缓冲层表面形成氮化镓层。上述方法可以提高形成的氮化镓的质量。,H01L21/205,H01L21/2056; H01L21/2056; H01L21/2056,,,2019
175-531-979-301-425,Defect control and stability of DC bias using molecular reactive purge gas,"The invention relates to defect control and stability of DC bias using a molecular reactive purge gas. A substrate processing system comprises an upper electrode and a lower electrode arranged in a processing chamber. A gas delivery system selectively delivers at least one of precursor, one or more deposition carrier gases and a post deposition purge gas. An RF generating system deposits film on the substrate by generating RF plasma in the processing chamber between the upper electrode and the lower electrode by supplying an RF voltage to one of the upper electrode and the lower electrode while the precursor and the one or more deposition carrier gases are delivered by the gas delivery system. A bias generating circuit selectively supplies a DC bias voltage to one of the upper electrode and the lower electrode while the post deposition purge gas is delivered by the gas delivery system. The post deposition purge gas that is delivered by the gas delivery system includes a molecular reactant gas.",H01J37/32; C23C16/44; C23C16/455; C23C16/505,H10P72/00; C23C16/44; C23C16/505; H01L21/205; H01L21/205; H01L21/205; H10P72/04; C23C16/505; C23C16/4401; C23C16/45525; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; H10P72/0454; H10P72/0464; Y10S901/30; H01J37/3244; C23C16/4401; C23C16/45525; C23C16/505; H01J37/32174; H01J37/32532; H01J37/32623; H01J37/32733; Y10S901/30; C23C16/505; C23C16/4401; C23C16/45525; C23C16/458; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; Y10S901/30,096-246-067-108-693; 006-314-736-477-953; 035-706-406-095-500; 184-197-860-805-832; 049-676-022-687-033; 090-890-671-598-907; 074-336-523-507-85X; 008-220-091-852-933,011-636-693-879-292,2019
183-536-314-138-435,DISPLAY APPARATUS AND METHOD OF MANUFACTURING THE SAME,"A display apparatus including a substrate having a display area in which a display device is provided to display an image, and a non-display area around the display area. The non-display area includes a bending area that is bent about a bending axis; an encapsulation layer arranged above the display area; a touch electrode arranged above the encapsulation layer; a touch wire connected to the touch electrode and extending to the non-display area; and a fan-out wiring connected to a signal wiring that applies electric signals to the display area. At least a portion of the fan-out wiring is arranged in the bending area, and the fan-out wiring includes the same material as the touch wire.",G06F3/041; G06F3/044; H01L27/12; H10K99/00,G02F1/1362; G02F1/136286; G02F1/136295; H01L27/3297; H01L27/3297; H01L27/3297; H10K59/131; H10K59/8722; H10K59/8731; G06F3/0412; G06F3/04164; G06F3/044; G06F2203/04103; H10D86/411; H10D86/60; H10K59/131; H10K59/1315; H10K59/40; H10K59/8722; H10K59/8731; H10K77/111; H10K2102/311; Y02E10/549; Y02P70/50; G02F1/1345; G02F1/133305; G02F1/1343; H10K59/8722; H10K59/8731; G06F3/0412; G06F3/04164; G06F3/044; G06F2203/04103; H10D86/411; H10D86/441; H10D86/451; H10D86/60; H10K50/8426; H10K50/844; H10K59/1201; H10K59/1213; H10K59/122; H10K59/124; H10K59/131; H10K59/1315; H10K59/40; H10K59/8722; H10K59/8731; H10K71/00; H10K77/111; H10K2102/311; Y02E10/549,058-089-227-579-255,165-979-342-750-533; 123-943-379-140-415; 088-650-380-458-504; 119-393-236-391-26X; 085-073-188-940-96X; 076-660-400-832-190; 107-901-479-038-789; 063-612-621-140-827; 167-392-704-889-699; 104-296-859-927-957; 035-677-095-135-535,2019
119-161-020-149-826,Organic electroluminescent device and preparation method thereof,,C09K11/06; H10K99/00,H01L51/5052; H01L51/5052; H01L51/5052; H10K50/858; H10K71/164; H10K50/155; C09K11/06; H10K50/165; H10K50/858; H10K50/155; H10K50/165; H10K50/858; H10K71/164; H10K85/60; H10K85/626; H10K85/631; H10K85/633; H10K85/6572; H10K2102/351,064-488-144-804-483,,2019
063-739-012-857-871,金属氧化物半导体层的结晶方法及半导体结构,本发明提供两种金属氧化物半导体层的结晶方法及半导体结构，第一种结晶方法是在压力为约550mtorr至约5000mtorr，温度为约200℃至约750℃下，以氧气处理包含铟的非结晶金属氧化物半导体层。第二种结晶方法是先依序形成第一非结晶金属氧化物半导体层、铝层及第二非结晶金属氧化物半导体层于基板上，在温度为约350℃至约650℃下，以惰性气体处理第一非结晶金属氧化物半导体层、铝层及第二非结晶金属氧化物半导体层。本发明的金属氧化物半导体层的结晶方法制备的半导体结构能够有效抵御蚀刻剂侵蚀，能够广泛用于制备薄膜晶体管。,H01L21/02; H01L21/205; H01L29/41,H01L21/205; H01L21/205; H01L21/205; H10D64/20; H10P95/00; H10D30/6755; H10D86/423; H10D86/481; H10D86/60; H10D99/00; H10P14/2922; H10P14/2923; H10P14/3434; H10P14/3454; H10P14/3802; H10D30/6755; H10D30/6757; H10D62/80; H10D64/512; H10D86/423; H10D86/481; H10D86/60; H10D99/00; H10P14/2922; H10P14/2923; H10P14/3238; H10P14/3434; H10P14/3454; H10P14/3802; H10P14/3806; H10P14/6314; H10P14/69391,,,2019
164-242-826-789-44X,Flexible organic light emitting diode and the manufacturing method thereof,"A flexible OLED includes a substrate, an anode, a hole transport layer, a stopper chamber, an electron transport layer, a cathode, and a cover stacked in sequence. The stopper chamber is filled with a light emitting layer. Surfaces of the hole transport layer and the electron transport layer that face each other are provided with free H+ ions that exchange with H atoms contained in a material of the light emitting layer to connect the light emitting layer to the surfaces of the hole transport layer and the electron transport layer.",H10K99/00,H10K50/11; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/15; H10K71/40; H10K77/111; H10K71/12; H10K50/11; H10K50/135; H10K50/155; H10K50/165; H10K71/40; H10K2102/00; H10K2102/311; Y02E10/549; Y02P70/50; H10K71/12; H10K50/11; H10K50/15; H10K50/155; H10K50/16; H10K50/165; H10K71/00; H10K71/135; H10K71/40; H10K77/111; H10K2102/00; H10K2102/311,026-800-972-678-588,,2019
191-680-344-256-551,CRYSTALLINE MULTILAYER STRUCTURE AND SEMICONDUCTOR DEVICE,"Provided is a crystalline multilayer structure which has good electrical properties and is useful for semiconductor devices. A crystalline multilayer structure includes a base substrate and a crystalline oxide semiconductor thin film disposed directly on the base substrate or with another layer therebetween and including a corundum-structured oxide semiconductor as a major component. The oxide semiconductor contains indium and/or gallium as a major component. The crystalline oxide semiconductor thin film contains germanium, silicon, titanium, zirconium, vanadium, or niobium.",H01L29/04; H01L21/02; H01L21/34; H01L29/06; H01L29/10; H01L29/22; H01L29/24; H01L29/739; H01L29/772; H01L29/778; H01L29/78; H01L29/808; H01L29/812; H01L29/872; H01L33/26; H01L33/42,H10D8/60; C23C16/40; H01L21/205; H01L21/205; H01L21/205; H10D8/051; H10D30/015; H10H20/032; H10P14/2921; H10D8/60; H10D12/411; H10D30/202; H10D30/4755; H10D30/60; H10D30/635; H10D30/668; H10D30/831; H10D30/87; H10D62/106; H10D62/343; H10D62/40; H10D62/80; H10D99/00; H10H20/032; H10H20/822; H10H20/833; H10P14/2926; H10P14/3426; H10P14/3434; H10P14/3438; H10P14/3446; H10D62/86; H10D8/60; H10D12/411; H10D30/202; H10D30/4755; H10D30/60; H10D30/635; H10D30/668; H10D30/831; H10D30/87; H10D62/106; H10D62/343; H10D62/40; H10D62/80; H10D99/00; H10H20/032; H10H20/822; H10H20/833; H10P14/2921; H10P14/2926; H10P14/3426; H10P14/3434; H10P14/3438; H10P14/3446,033-082-248-305-019; 036-403-055-495-980; 139-322-373-624-565; 104-356-353-087-470,144-761-586-898-864; 127-193-761-588-208; 107-919-608-149-190,2019
076-103-932-199-478,一种GaN衬底的制备方法,本发明公布了一种GaN衬底的制备方法，属于光电子器件的制备领域。本发明在铺设有碳纳米管的蓝宝石衬底上外延生长GaN、InGaN、AlGaN、AlN或InN薄膜或纳米柱构成过渡层，碳纳米管铺设范围需超过衬底边缘200um‑1mm，随后将复合衬底置于激光下辐照，超过衬底边缘的碳纳米管有助于碳纳米管或GaN在激光辐照下可以从边缘向中间逐渐分解并生成气体放出，在碳纳米管的占据位留下孔洞(直径为200‑800nm)，最后再生长厚膜GaN，获得厚膜GaN衬底或经过去除衬底工艺或自分离工艺得到自支撑GaN衬底。本发明制备方法简单、工艺条件易控制、价格低廉、便于大规模批量生产，可以选择不同的衬底，还可支持多种衬底分离技术。,H01L21/02; H01L21/20; H01L33/00; H01L33/32,H10P95/00; H01L21/205; H01L21/205; H01L21/205; H10H20/80; H10H20/825; H10P14/20,,,2019
165-292-482-362-187,LONG LIFETIME PHOSPHORESCENT ORGANIC LIGHT EMITTING DEVICE (OLED) STRUCTURES,,H10K99/00,H10K50/11; H01L51/5052; H01L51/5052; H01L51/5052; H10K50/125; H10K50/17; H10K85/324; H10K85/342; H10K85/622; H10K85/6572; H10K85/731; H10K2101/10; H10K50/11; H10K50/13; H10K50/155; H10K50/17; H10K85/324; H10K85/342; H10K85/622; H10K85/6572; H10K85/731; H10K2101/10; H10K50/11; H10K50/13; H10K50/15; H10K50/155; H10K50/17; H10K85/324; H10K85/342; H10K85/622; H10K85/6572; H10K85/731; H10K2102/351; H10K50/11; H10K50/125; H10K50/13; H10K50/155; H10K50/17; H10K85/324; H10K85/342; H10K85/622; H10K85/6572; H10K85/731; H10K2101/10,051-416-474-236-728,,2019
131-217-958-927-320,真空排出系统以及在该真空排出系统中使用的通道切换阀,[问题]为了提供一种真空排出系统，所述真空排出系统适合于实现整体真空排出系统的简化和降低成本，并且获得在真空排出系统中使用的通道切换阀。[解决方案]一种真空排出系统，所述真空排出系统从腔室（C）排出气体，并且所述真空排出系统包括：多个分支通道（2），所述多个分支通道（2）用于从所述腔室（C）排出所述气体；主管道线（3），所述主管道线（3）呈所述多个分支通道（2）汇合的形式；通道打开‑关闭阀（4），所述通道打开‑关闭阀（4）配合成与所述多个分支通道（2）中的每个相对应；通道切换阀（6），所述通道切换阀（6）连接所述主通道（3）和多个选择通道（5）并且允许所述多个选择通道（5）中的任一个与所述主通道（3）之间的流动；第一泵（7），所述第一泵（7）充当在所述气体的分子流区域中的气体排出器件；以及第二泵（8），所述第二泵（8）充当在所述气体的粘性流区域中的气体排出器件；并且其特征在于，所述第一泵（7）配合到所述多个分支通道中的任一个并且所述第二泵（8）配合到所述多个选择通道（5）。,F04C25/02,F04C25/02; F04C2220/30; F04C25/02; F04C23/003; F04C2220/30; C23C16/4405; F04C25/02; C23C16/4412; F04C23/001; F04C2220/30; H01L21/205; H01L21/205; H01L21/205; F04C25/02; F04C2220/30; F04C25/02; C23C16/4405; C23C16/4412; F04C23/001; F04C23/003; F04C2220/30; F16K15/00; H10P72/0451,,,2019
083-598-265-484-806,Long-life LCD target assembly and formation method thereof,"The invention provides a long-life LCD target assembly and a formation method thereof. The LCD target assembly comprises a backing plate and a target structure fixed to the surface of the backing plate, wherein the target structure comprises a first side which is flat and fits the surface of the backing plate, the target structure includes a first sputtering region and second sputtering regions located on two sides of the first sputtering region, and the thickness of the second sputtering region target structures is larger than the thickness of the first sputtering region target structure. Thetarget assembly has a long service life.",H01L21/285; C23C14/34,C23C14/34; H01L21/203; H01L21/203; H01L21/203,097-644-979-583-438; 029-481-104-661-317; 112-914-982-914-68X; 171-260-350-960-792; 167-528-321-708-272; 090-718-767-977-579; 095-875-810-175-936,,2019
056-947-354-567-631,薄膜循环蒸镀方法、半导体制造方法及半导体元件,本发明涉及薄膜循环蒸镀方法，根据本发明的一实施例，其包括：氧化膜蒸镀步骤，重复进行在装载有对象物的腔的内部注入硅前驱体而在上述对象物上蒸镀硅的蒸镀步骤、在上述腔的内部去除未反应硅前驱体及反应副产物的第1净化步骤、向上述腔内部供给包含氧的第1反应源而将蒸镀的上述硅形成为包含硅的氧化膜的反应步骤和在上述腔的内部去除未反应的第1反应源和反应副产物的第2净化步骤；及等离子体处理步骤，向上述腔的内部提供由包含氮的第2反应源生成的等离子体来处理上述包含硅的氧化膜，在上述等离子体处理步骤之前，重复3次至50次所述氧化膜蒸镀步骤，重复上述氧化膜层蒸镀步骤及上述等离子体处理步骤。,H01L21/205; H10B43/30; H10B69/00,H10D64/037; C23C16/402; C23C16/45536; H10P14/24; H10P14/3411; H10P14/6336; H10P14/6339; H10P14/6526; H10P14/6532; H10P14/69215; H01L21/205; H01L21/205; H01L21/205; H10D64/037; C23C16/402; C23C16/45536; H10D30/0413; H10D30/69; H10D64/514; H10D64/693; H10P14/24; H10P14/3411; H10P14/6336; H10P14/6339; H10P14/6526; H10P14/6532; H10P14/69215; H10P14/6927,,,2019
142-220-106-819-57X,Power and data routing structures for organic light-emitting diode displays,,H10K99/00,H10K59/126; H10K59/131; H10K59/1315; H10K59/8792; H10K59/126; H10K59/131; H10K59/1315; H10K59/8792; H10K77/111; Y02E10/549; H01L27/3297; H01L27/3297; H01L27/3297; H10D86/441; H10D86/60; H10K59/131; H10K59/8792; H10K59/126; H10K50/865; H10K59/131; H10K59/1315; H10K59/8792; H10K77/111,,,2019
015-954-523-608-982,High-quality AlN epitaxial film and preparation method and application thereof,"The invention relates to a high-quality AlN epitaxial film and a preparation method and application thereof. The preparation method of the AlN epitaxial film comprises the following steps: (1) performing nitriding pretreatment on a sapphire substrate; and (2) performing high temperature annealing treatment on the AlN film grown on the sapphire after nitriding pretreatment. The concept of performing nitriding pretreatment on the sapphire substrate is put forward for the first time, special microstructures can be formed on the substrate surface by the process, the dislocation density of the obtained AlN epitaxial film is effectively reduced, the stress state of the AlN film is improved and the AlN film is changed from the tensile stress state to the compressive stress state with the use of high temperature annealing technology so that the crack behavior in the process of AlN film epitaxy can be solved and finally the high-quality AlN epitaxial film with flat surface, low dislocation density and no crack can be obtained. The preparation method of the AlN epitaxial film has the characteristics of high efficiency and good repeatability and is suitable for wide popularization.",H01L21/205; H01L21/324,H01L21/2056; H01L21/2056; H01L21/2056; H10P95/904,144-307-073-995-220; 048-289-326-913-224; 130-267-326-551-125; 011-696-784-596-583,167-944-240-778-095; 077-021-641-761-827; 030-689-343-870-472; 044-884-313-539-561; 101-117-839-124-676; 097-668-234-258-32X,2019
085-579-083-614-613,СПОСОБ ФОРМИРОВАНИЯ ПОЛУПРОВОДНИКОВЫХ СТРУКТУР ДЛЯ ПРЕОБРАЗОВАНИЯ ЭНЕРГИИ РАДИОХИМИЧЕСКОГО РАСПАДА С-14 В ЭЛЕКТРИЧЕСКУЮ,,H01L21/205; C23C16/32,C23C16/32; H01L21/205; H01L21/205; H01L21/205,,166-387-585-396-580,2019
