patent_id,title,abstract,ipc_codes,cpc_codes,citations,publication_year
160-330-209-794-897,Method of heat collection of landscape solar energy,"The invention provides a method of heat collection of landscape solar energy. A rattan-type plant is planted below the solar energy heat collector in spring. The rattan-type plant continues to grow by climbing on the solar energy heat collector through a gap of the solar energy heat collector after the plant grows in summer. Part of the sunlight can be blocked by leaves of the plant. The sunlight irradiating on the solar energy heat collector is reduced. Heat production of the solar energy heat collector is proper. According to the method of the heat collection of the landscape solar energy, the solar energy can be fully used for collecting heat. Redundant sunlight in summer can further be used for planting the plant at the same time. In summer, the solar energy heat collector can be used for collecting the heat. The redundant sunlight can be used for planting the plant and absorbing the carbon dioxide, thus the fault rate of the solar energy heat collector is reduced. Service life is prolonged. The complete solar energy heat collector area is exposed. The solar energy plays the largest role.",F24J2/00,Y02E10/40,cited_by:0 | cites:0,2013
172-036-682-557-262,Solar energy sound box,"An embodiment of the present utility model discloses a solar energy sound box which comprises a solar energy cell panel and a sound box main body, and the solar energy cell panel is fixedly connected with the sound box main body. The solar energy sound box is power-supplied by the solar energy cell panel, the solar energy cell panel is fixedly connected with the sound box main body, thus solar energy sound box is beautiful as a whole.",H04R1/00; H02J7/00; H02S40/38,Y02E10/50; Y02E70/30,cited_by:4 | cites:0,2012
025-196-008-892-651,"Solar alternating-current battery capable of improving six-time absorption, storage and release of solar energy","The invention belongs to the technical field of utilization of space solar energy, particularly relates to a solar alternating current battery capable of improving 6 times of absorption, storage and release of solar energy, and aims to solve the problems that the solar energy absorbed, stored and released by the existing solar energy cannot be effectively converted and the utilization rate of the solar energy is reduced. The solar power generation panel is of a hexagonal pyramid-shaped structure, and the bottom of the solar power generation panel is connected with a solar cell main body; a solar (alternating current) cell panel which is in a hexagonal pyramid shape and can absorb solar energy by 6 times is butted to the surface of a hexagonal solar cell body, so that the solar energy can be absorbed, stored and released by 6 times. The six-prismatic-shaped solar cell is adopted to improve the solar cell characteristics of absorbing, storing and releasing solar energy by 6 times, creativity, permanency, cleanness, environment friendliness, safety, flexibility and long service life are achieved, electric energy can be generated as long as solar radiation and lamplight exist, and charging is not needed.",H01L31/0236; H01L31/042,H10F19/00; H10F77/703,cited_by:0 | cites:0,2022
133-275-861-133-75X,Asphalt processing method using solar energy for heating,"The invention discloses an asphalt processing method using solar energy for heating. A solar cell panel, a solar heat absorption coating and a heat collector are included, and the solar cell panel isused for absorbing solar energy; the heat collector is coated with a solar heat absorption coating, and solar energy is converted into heat energy through the heat collector. The asphalt processing method comprises the steps that 1 the solar cell panel absorbs solar energy, the heat collector is coated with the solar heat absorption coating, and the solar energy is converted into heat energy through the heat collector; 2 the asphalt stored in a large tank is heated; and 3 heat energy in the tank body is focused, so that the asphalt flows, and the flowing asphalt flows into a small tank body. The asphalt processing method has the advantages that air pollution caused by combustion of coal and natural gas is reduced, the solar heat absorption coating with the model of RLHY-2337 is used, the heat collector is helped to absorb solar heat, the efficiency of converting solar energy into heat energy is improved, and the production cost is reduced.",E01C19/08; C10C3/00,E01C19/08; C10C3/00,cited_by:0 | cites:0,2021
097-927-259-878-756,A SOLAR POWERED LIGHTING SYSTEM,Abstract 5 A solar powered lighting system includes a solar module adapted to receive solar energy and transform received solar energy into electrical energy and a lighting module. The lighting module is electrically coupled to the solar module and is configurable to emit light using electrical energy generated by the solar module only while the solar module receives solar energy. The solar module and the lighting 10 module are electrically couplable such that light emitted from the lighting module mimics a characteristic of sunlight from which the solar energy is received. 921801 Prov 162 162' 114',F21S9/00; H01L31/042,F21S9/03; F21S8/024; F21S8/026; F21S8/033; F21S9/04; F21V23/003; F21V23/0442; F21Y2103/10; F21Y2113/13; F21Y2115/10; Y02B10/10; F21S9/032; F21S8/024; F21S8/026; F21S8/033; F21S8/04; F21S9/03; F21S9/04; F21V23/003; F21V23/0442; F21Y2103/10; F21Y2113/13; F21Y2115/10; Y02B10/10,cited_by:1 | cites:0,2013
102-704-338-149-747,Device for utilization of solar energy,"In the present invention, there is disclosed a device for utilization of solar energy. particularly for conversion thereof to thermal energy or electric power, said device comprising a solar energy absorber (A) and an optical means (OM) arranged upstream said solar energy absorber (A) and intended for concentration of solar energy. Said solar energy concentrating optical means (OM), comprising a system of side-by-side arranged optical converging lenses (1), is arranged reversibly adjustable between the position in front of the solar energy absorber (A) and outside of said solar energy absorber (A).",F24S23/30,Y02E10/40,cited_by:2 | cites:0,2011
065-094-659-924-649,Heating method for solar floor,"The invention discloses a heating method for a solar floor. The heating method can comprise the steps that solar energy is absorbed through an energy absorbing unit; the absorbed solar energy is transmitted to an energy receiving unit through an energy transmitting unit; the solar energy received by the energy receiving unit is stored through an energy storage unit; and the energy storage unit releases heat to heat a solar base plate. The heating method has the advantages that the solar energy is convenient to collect and free of pollution; solar energy resources are abundant and can be used for a long time; and air pollution is reduced, and air quality is improved.",F24D15/02; F24D19/10; F24S50/40; F24S60/00,F24D15/02; F24D19/10; F24D2200/14; F24D2220/042; F24D2220/10; Y02B10/20; Y02B10/70,cited_by:0 | cites:0,2018
006-555-920-957-102,Solar energy window using plastic solar batteries,"The utility model belongs to the technical field of solar energy generation and electric energy transformation application, in particular to a solar energy window which uses plastic solar batteries, and comprises a window frame, a plastic solar battery board, louver boards, a transformation circuit, solar accumulators and an integrated circuit, wherein the window frame and the louver boards are arranged on the plastic solar batteries, the transformation circuit and the solar accumulators are arranged in the window frame, and the louvre boards and the window frame are all arranged on the integrated circuit. Absorbed solar energy is transported to electrical energy through the integrated circuit and is stored in the solar accumulators. The solar energy window has simple structure and high utilization rate of solar energy, saves energy, protects environment, and has strong practicality.",E06B9/02; H02S10/20,Y02E10/50; Y02E70/30,cited_by:0 | cites:0,2010
169-389-883-891-895,Solar energy power generation case,"The utility model discloses a solar energy power generation case, including box, end box and case lid, the fixed end box that is provided with of bottom half, end box top fixedly connected with case lid, solar energy electroplax of end box and case lid inner chamber fixedly connected with, no. Two solar energy electroplaxs of end box rear end fixedly connected with, no. Three solar energy electroplaxs of end box right side fixedly connected with. The utility model discloses a rear side and right side at end box have set up no. Two solar energy electroplaxs and no. Three solar energy electroplaxs, sun solar energy electroplax sets up no. Four in the left side of case lid, no. Four solar energy electroplaxs and no. Two solar energy electroplaxs and no. Three solar energy electroplax same mode settings, no. Two solar energy electroplaxs and no. Three solar energy electroplaxs and no. Four solar energy electroplaxs set up box mode internal and that can the pull come out and have increaseedpower generation box and receive solar energy, it is more sufficient to make whole power generation box electric quantity, be fit for being widely used and promoting.",H02S10/40; H02S30/20,Y02E10/50,cited_by:0 | cites:0,2018
045-787-788-882-058,Solar energy flashlight,"The invention relates to flashlights, particularly to a solar energy flashlight. According to the solar energy flashlight, a flashlight body is in a cuboid shaped, two outer surfaces of the flashlight body are provided with solar panels, which can absorb solar energy and convert the solar energy into electric energy for powering the flashlight body. The solar energy flashlight achieves power supply in a battery and solar energy mixed mode, and accordingly, can be powered by dry batteries when solar batteries cannot supply enough power due to continuous rainy days and further prolong the continuous working time. The solar energy flashlight is simple, practical, safe, environmentally friendly and applicable to field environments.",F21L4/08; F21L4/00; F21V23/00,,cited_by:1 | cites:0,2014
126-932-537-571-233,Solar guardrail,"The invention discloses a solar guardrail which is characterized by comprising a guardrail body and a solar collection mechanism (4). Two ends of the guardrail body are embedded into a wall of a balcony, the solar collection mechanism (4) is positioned in the guardrail body, the solar collection mechanism (4) can collect solar energy, and liquid in the solar collection mechanism (4) is heated through the solar energy. The solar guardrail is mounted on the balcony and can function in protection, and the solar energy can be converted into heat energy or electric energy by the solar guardrail.",E04F11/18; F24J2/52; F24S10/40,Y02E10/44; Y02E10/47,cited_by:2 | cites:0,2015
126-214-368-005-217,PORTABLE MODULAR SUN-TRACKING SOLAR ENERGY RECEIVER SYSTEM,"A portable solar energy generation system has a solar energy receiver having a plurality of solar cells for converting solar energy into a DC voltage. A solar tracking mechanism enables the solar energy receiver to track a position of the sun with respect to the solar cells and to position the solar cells responsive thereto. Power circuitry generates at least one output voltage to power an electronic device responsive to the DC voltage. A housing contains each of the solar energy receiver, the solar tracking mechanism and the power circuitry in a portable configuration.",F24S50/20; H01L31/042,H02S10/00; H02S20/00; H02S40/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50; H02J7/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50,cited_by:0 | cites:0,2014
156-777-051-572-835,Solar energy receiving tube fixation unit and device for solar energy receiving tube,"The utility model relates to a solar energy receiving tube fixation unit and a device for a solar energy receiving tube. The solar energy receiving tube fixation unit for fixing at least one solar energy receiving tube, and the solar energy receiving tube comprises an outer receiving tube surface. The solar energy receiving tube fixation unit comprises a fixation surface, and the fixation surface is at least partially formed into be opposite to the surface of the outer solar energy receiving tube surface of the solar energy receiving tube. The fixation surface comprises an elastomer fixation material.",B65D81/113; B65D85/30,,cited_by:0 | cites:0,2014
031-872-135-371-726,Solar energy collector,"A solar energy collector comprises a glass membrane, a solar energy collecting device and a window frame, and is characterized in that the glass membrane is connected with the solar energy collecting device, solar energy collecting wires are implanted in the inner layer of the glass membrane for collecting solar energy, the solar energy is transmitted to a conversion device, the conversion device converts the solar energy into electric energy, the electric energy is stored in an electricity storage device connected with the conversion device, the electricity storage device is provided with a switch, and the electric energy is transmitted to electricity-utilization equipment by switching on the switch. Compared with the prior art, the solar energy collector has significant advantages and beneficial effects that the solar energy collected by the solar energy collecting wires are converted into electric energy in the conversion device, the electric energy is transmitted to the electricity storage device, the electricity storage device is provided with the switch, the electric energy transmitted by the conversion device is stored in the electricity storage device when the switch is switched off, and the stored electric energy is transmitted the electricity-utilization equipment when the switch is switched on.",F24J2/00,Y02E10/40,cited_by:0 | cites:0,2015
028-697-590-535-792,Solar electric source device of super capacitor,"The utility model discloses a solar energy power device for a super capacitor, which relates to a solar power generation. The method is that the maximum power of the solar power system is traced in dynamic balance way. An intelligence type charging and discharging mechanism is added according to the method to form an intelligence type coordination style solar energy device. The utility model at least comprises a solar energy board, an ultra-capacitor, a direct-current/step-up step-down converter, a pulse width modulation driver, an accumulator cell, a logic controller, and a load. The electric energy produced by the solar energy board is converted into the capacitor form electric energy to calculate the maximum power, and the calculation procedure can be simplified greatly. The real-time and the reliability degree of the tracing calculation are promoted, and the solar energy system efficiency is gained. The utility model can be widely applied to a solar energy LED lamp and a solar energy lamp, in particular to a solar energy street lamp, a street lamp, a solar energy traffic signal lamp, and a solar energy project light, etc.",H02J7/35; H02J15/00,Y02E70/30,cited_by:13 | cites:0,2008
145-481-024-050-431,Solar energy sunlight shining device capable of promoting solar radiation energy,"A solar energy sunlight shining device capable of promoting solar radiation energy is composed of a solar energy support. A solar energy facility is installed within the range of the solar energy support. A sunlight receiving screen and a sunlight shining device are installed on the periphery of the solar energy support. Angles of the sunlight shining device are capable of being adjusted. The sunlight shining device is composed of a connecting support and a sunlight shining screen. Angles of the connecting support and the sunlight shining screen are capable of being adjusted. The sunlight receiving screen and the sunlight shining screen are made of metal mirror materials. The solar energy sunlight shining device is characterized in that the solar energy facility is directly shined by sunlight and can be shined by radiation light reflected by the sunlight shining screen at the same time, and therefore the solar energy facility can be radiated by dual lights of the sunlight and the sunlight shining. When in extreme weather in winter, the solar energy sunlight shining device is capable of receiving a strong heat value effect like in summer. The solar energy sunlight shining device is widely applied for devices such as solar energy battery electricity generation and solar water heater.",G02B19/00; G02B7/198,,cited_by:0 | cites:0,2013
190-110-204-322-886,SOLAR ENERGY PHOTOVOLTAIC CONTROL SYSTEM,"A solar energy photovoltaic (PV) control system includes a solar energy absorption board configured to receive solar energy from solar rays and transfer solar energy to voltage/current signals, a motor, a voltage/current collecting circuit connected to the solar energy absorption board to receive the voltage/current signals therefrom, a micro control unit (MCU) connected to the voltage/current collecting circuit to receive the voltage/current signals therefrom, and a motor driver connected between the MCU and the motor. The solar energy absorption board is fixed on the motor and the motor drives the solar energy absorption board to pivot. The MCU controls the motor driver to drive the motor to adjust the angle between incoming solar rays and the solar energy absorption board to place the solar energy absorption board to directly face the sun according to the collected voltage/current signals.",H01L31/04; H02J7/00,H02S20/32; F24S50/20; Y02E10/47; Y02E10/50; H02S20/32; F24S50/20; Y02E10/47,cited_by:5 | cites:0,2009
192-743-736-108-015,Solar stepping stone,"A solar stepping stone comprises a housing having an upper surface, side walls and a lower surface, the housing defining a chamber. A solar energy collector is associated with the housing for collecting solar energy. A solar power storage device is provided in the chamber for receiving and storing solar energy received from the solar energy collectors. An illuminator for illuminating at least a portion of the upper surface of the solar stepping stone is contained in the chamber and is powered by solar energy stored by the solar power member.",E01C17/00; E01F9/00; E01F9/06; F21S8/02; F21S9/03; F21V23/04; F21V33/00,F21S8/022; E01C17/00; E01F9/559; F21S9/037; F21V23/0435; F21V23/0442; F21V33/006; F21Y2115/10; Y02B10/10; Y10S362/802; F21S8/022; E01C17/00; E01F9/559; F21S9/037; F21V23/0435; F21V23/0442; F21V33/006; F21Y2115/10; Y02B10/10; Y10S362/802,cited_by:22 | cites:0,2005
149-369-983-596-97X,Solar air conditioner,"The invention provides a solar air conditioner. The solar air conditioner comprises an indoor unit, an outdoor unit, a compressor and an evaporator; the solar air conditioner further comprises a solarpipeline, a photovoltaic module arranged on the top of the solar pipeline, a heat collection pipe assembly arranged at the bottom of the solar pipeline and a heat collection sheet arranged on the heat collection pipe assembly; the solar pipeline is used for enabling a refrigerant to circulate; the photovoltaic module is used for converting solar energy into electric energy; and the heat collection pipe assembly and the heat collection sheet are used for absorbing solar energy and converting the solar energy into heat energy. By adopting the solar air conditioner, a large amount of solar energy can be converted into electric energy, not only can enough energy be supplied to the air conditioner for use, but also a large amount of redundant electric energy can be generated and output to theoutside, and the economic benefit of the solar air conditioner is improved.",F24F5/00,F24F5/0046; F24F2005/0067,cited_by:0 | cites:0,2018
139-018-751-074-059,PORTABLE MODULAR SUN-TRACKING SOLAR ENERGY RECEIVER SYSTEM,"A portable solar energy generation system has a solar energy receiver having a plurality of solar cells for converting solar energy into a DC voltage. A solar tracking mechanism enables the solar energy receiver to track a position of the sun with respect to the solar cells and to position the solar cells responsive thereto. Power circuitry generates at least one output voltage to power an electronic device responsive to the DC voltage. A housing contains each of the solar energy receiver, the solar tracking mechanism and the power circuitry in a portable configuration.",H02J7/00; F24S50/20,H02S10/00; H02S20/00; H02S40/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50; H02J7/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50,cited_by:91 | cites:0,2013
121-275-314-783-854,Solar energy collection mounting bracket,"The utility model discloses a solar energy collection mounting bracket, it includes chevron shape solar energy mounting bracket (1), solar energy mounting bracket (1) includes base (2) and solar energy reflector panel (4) that the bisymmetry set up, two it is equipped with the solar energy water storage bucket (5) of taking a plurality of mounting holes, two on it to be equipped with solar energywater storage barrel head seat (9) between solar energy reflector panel (4) upper portion the spaced is equipped with horizontal pole (3) between solar energy reflector panel (4), two the inboard of base (2) is equipped with a plurality of solar energy collection pipe holding tank (7) respectively, and a plurality of solar energy collection pipe (6) set up corresponding respectively in the solar energy collection pipe holding tank (7), every insert on the upper portion of solar energy collection pipe (6) in solar energy water storage bucket (5) the mounting hole, the upper surface of base (2)and with the corresponding punishment in holding tank (7) position of solar energy collection pipe do not is equipped with solar energy collection and manages contract vacuum mouth passageway (8), adopting above -mentioned structure, having realized simple structure, easy to assemble, labour saving and time saving just can prevent to touch solar energy collection and manage the vacuum mouth effectthat contracts.",F24S60/30; F24S10/70; F24S25/13,Y02E10/44; Y02E10/47,cited_by:0 | cites:0,2018
161-933-856-738-567,"Automatic beam condensing unit, solar device and solar energy system of solar energy trail","The utility model provides an automatic beam condensing unit, solar device and solar energy system of solar energy trail, belongs to solar energy technical field. The beam condensing unit of automatic tracking solar energy includes light concentrating sheet, the metal light concentrating sheet that light concentrating sheet changes along with the change of temperature for bending angle. The utility model provides an automatic beam condensing unit, solar device and solar energy system of solar energy trail does not additionally need, and consumption of electric energy trails the sun.",F24J2/46; F24S10/40; F24S23/70; F24S50/20,Y02E10/44; Y02E10/47,cited_by:1 | cites:0,2017
151-548-306-627-13X,Solar energy lighting lamp,"The invention discloses a solar energy lighting lamp. The solar energy lighting lamp mainly comprises a solar panel, a processor and an led lamp. The solar energy lighting lamp is characterized in that the processor is arranged in the lighting lamp, the solar panel is arranged on the surface of the lighting lamp, the led lamp is arranged in the middle of the lighting lamp, during using, the solarpanel absorbs solar energy, the processor converts the solar energy into electrical energy and supplies the electrical energy for the led light, and convenience is brought to people.",F21S9/03; F21Y115/10,F21S9/03; F21Y2115/10,cited_by:0 | cites:0,2018
040-801-462-741-227,Solar energy corn thresher,"The invention relates to a solar energy corn thresher. The corn thresher is characterized by including a solar energy battery plate, an inverter, a storage battery, a controller and a spiral thresher,and the solar energy corn thresher can convert the solar energy into electric energy to be stored in the storage battery so as to supply electric energy for the thresher; when the solar energy corn thresher is not used, the solar energy assemblies can supply electric energy for domestic lighting and other devices and input the electric energy into a power network. The thresher has the advantagesthat all energy consumption is from the solar energy, which is clean and safe, when the solar energy corn thresher is not used, the thresher can supply electric energy to other equipment or input theelectric energy into power network, and the problem of energy shortage can be efficiently solved.",A01F12/56; A01F12/20; H02J7/35,A01F12/56; A01F12/20; H02J7/35; Y02P60/12,cited_by:0 | cites:0,2018
002-919-964-613-618,Adjustable solar streetlight,"The utility model relates to an adjustable solar energy road lamp, which belongs to a municipal illuminating device. The utility model comprises a road lamp and a road lamp post thereof which is provided with a solar energy board, a solar energy charging battery and a photosensitizing controllable switch, wherein the solar energy board is arranged on the top part of the road lamp post and the surface of the upper part, the solar energy charging battery is arranged on the upper part of the road lamp post, the photosensitizing controllable switch is arranged under the solar energy board, the solar energy board is connected with the solar energy charging battery by conducting wires, and the solar energy charging battery, the photosensitizing controllable switch and the road lamp are connected in series on a control circuit of the road lamp by conducting wires. The utility model uses the reproducible green energy resource which is solar energy as a power source. The utility model absorbs the solar energy at daytime with sufficient light irradiation and converts the solar energy into electric energy for storage. The utility model releases the electric energy after dusk for the illumination of the road lamp. The utility model has the characteristics of energy saving and environment protection.",F21S9/02; F21V23/00; F21W131/103; H02J7/00; H03K17/94,,cited_by:2 | cites:0,2006
034-265-831-798-410,Solar camera,"The utility model belongs to the technical field of monitoring equipment, and particularly relates to a solar camera. The camera comprises a camera body and a solar cell panel. The solar cell panel is arranged on the upper end face of the camera body, and the solar cell panel is electrically connected with a battery assembly in the camera body; the solar cell panel can convert solar energy into electric energy and store the converted electric energy in the cell module. The solar panel in the solar camera can absorb solar energy, convert the solar energy into electric energy and charge the converted electric energy into the battery assembly of the camera body, so that the camera body is provided with the electric energy required by the camera body during working, and the solar camera can operate normally without pulling a lead; therefore, the installation of the solar camera is simpler and more convenient.",H04N23/50; H02J7/35; H04N23/56; H04N23/65,Y02E10/50,cited_by:0 | cites:0,2023
008-632-197-172-080,IMPROVED SOLAR ENERGY COLLECTORS AND METHODS FOR SOLAR ENERGY SYSTEMS,"The present invention offers improved absorber plates for solar energy collectors, improved cover glazings for solar energy collectors, improved concentrating solar energy collectors, and solar energy collection methods that use one or more of the improved solar energy collectors for useful residential, commercial, and industrial applications. The improved absorber plate solar energy collectors utilize a 3-dimensional porous metal to improve solar radiant absorption collection and utilization, the improved concentrating solar energy collectors are Fresnel lens faced ducts of various geometries that enable efficient axial length solar energy collection, and the improved cover glazings utilize transparent front and back faces with other insulating property improvements to enable increased solar radiant energy harvest per unit front face cover area of solar collector.",F24J2/04; F24J2/48; F24J2/50; F24S10/30; F24S10/40; F24S10/70; F24S10/80; F24S23/30; F24S90/00,F24S10/80; F24S10/72; F24S23/31; F24S70/12; F24S2080/503; Y02B10/20; Y02E10/44; Y02E10/50; Y02E10/60; Y02P80/20; F24S10/80; F24S10/30; F24S10/40; F24S10/70; F24S10/72; F24S23/31; F24S70/12; F24S2080/503; H02S40/44; Y02B10/20; Y02E10/44; Y02P80/20,cited_by:0 | cites:0,2014
031-376-592-329-467,MOUNTING STRUCTURE FOR SOLAR ENERGY COLLECTING PIPE,"<P>PROBLEM TO BE SOLVED: To provide a mounting structure for a solar energy collecting pipe allowing the mounting of the solar energy collecting pipe on the reverse of a solar energy collecting plate in a well workable manner without causing the separation of the solar energy collecting plate even when warped by heat. <P>SOLUTION: The mounting structure for the solar energy collecting pipe comprises the solar energy collecting pipe 3 arranged on the reverse of the solar energy collecting plate 1, a fin 2 placed covering the solar energy collecting pipe 3, and a box 4 covering the solar energy collecting plate 1 at its reverse. The expandable foam solar energy insulating material is filled in a closed space formed by the heat collecting plate 1 and the box 4 and foamed, and the pressure of volume expansion due to the foaming is used for press bonding the solar energy collecting pipe 3 to the reverse of the solar energy collecting plate 1 via the fin 2. <P>COPYRIGHT: (C)2004,JPO&NCIPI",F24J2/00; F24J2/46; F24S10/70,Y02E10/44,cited_by:2 | cites:0,2004
122-591-907-460-20X,High-efficiency solar energy collecting plate,"The utility model provides a high-efficiency solar energy collecting plate, comprising an energy collecting plate which is vertical to solar rays, and the solar energy collecting plate is characterized in that: vertical light reflecting plates are arranged at the left side, the right side and the back side of the energy collecting plate. By adopting the vertical light reflecting plates which are arranged at the left side, the right side and the back side of the energy collecting plate, the solar rays in different seasons and times are reflected to the energy collecting plate, thereby efficiently increasing the energy collecting efficiency of the energy collecting plate, meanwhile, the high-efficiency solar energy collecting plate has the advantages of simple structure, convenient operation, reliable performance and the like, therefore, the high-efficiency solar energy collecting plate is an effective way to increase the efficiency of the solar energy collecting plate with low cost and can provide enough solar thermal energy for a solar energy generator and a solar energy water heater.",F24J2/48; F24J2/52,Y02E10/47,cited_by:1 | cites:0,2010
119-827-982-679-615,Solar air conditioning and water heating system,"The invention relates to a solar-energy air conditioner hot water system, which is formed by a solar-energy collector and an air conditioner hot water device. Wherein, said solar-energy collector can be solar-energy collector or the solar-energy photo-voltaic cell; the solar-energy collector is matched with the air conditioner hot water device, to be managed by the microcomputer controller. The invention realizes the intelligent integration and compensation between solar-energy technique and central air conditioning technique.",F24F5/00,Y02B10/20; Y02B10/70,cited_by:10 | cites:0,2006
084-710-378-645-024,Solar energy charging battery,"The solar energy charging battery comprises a casing, at least one solar energy plate, a circuit plate, a battery core, the solar enery plate is arranged on the casing for absorbing the solar energy and converting to the electric energy, the circuit plate is provided with a boosted circuit and a charging circuit, the boosted circuit is electrically connected with the solar energy plate and the charging circuit, the battery core is electrically connected with the charging circuit for storing the electric energy. The solar energy charging battery absorbs the solar energy and converts to the electric energy, then stores the electric energy in the battery core through the charging circuit, with simple structure, and is convenient for compensating the electric energy.",H02J7/35; H02S40/38,Y02E10/50; Y02E70/30,cited_by:1 | cites:0,2008
052-280-512-865-127,Solar energy monitoring system,"The invention discloses a solar energy monitoring system which comprises a solar panel, monitoring equipment, a solar energy controller and a power transformation controller. The solar panel is located at the front end of the solar energy monitoring system and is used for supplying power to the solar energy monitoring system. The monitoring equipment is electrically connected with the terminal ofthe solar energy monitoring system. The solar energy controller comprises an input end and an output end. The power transformation controller comprises an input module and an output module. One end ofthe input module is electrically connected with the solar panel, and the other end of the input module is electrically connected with the input end of the solar controller. One end of the output module is electrically connected with the output end of the solar energy controller, and the other end of the output module is electrically connected with the monitoring equipment. The solar energy monitoring system has the characteristics of simple structure, less energy consumption and higher efficiency.",H02S40/30; H02H9/04,H02S40/30; H02H9/04; Y02E10/50,cited_by:0 | cites:0,2020
176-243-966-319-394,Solar panel charging display device and use method thereof,"The invention discloses a solar panel charging display device and a use method thereof. The solar panel charging display device comprises a solar panel, an energy storage module, a measuring module and a display module, wherein the solar panel can convert solar energy into electric energy; the energy storage module is connected with the solar panel so as to store the electric energy generated by the solar panel; the measuring module is connected with the solar panel and the energy storage module; the measuring module is used for measuring an electric signal value of the electric energy transmitted to the energy storage module by the solar panel; the display module is connected with the measuring module and dynamically displays the electric signal value measured by the measuring module, and therefore, a user can easily know the relation between the placing position or the angle of the solar panel and the electric energy quantity generated by the solar panel.",H02J7/00; G01R19/00; H02S50/10,Y02E10/50,cited_by:1 | cites:0,2009
024-958-982-378-893,Solar energy collecting board,"The invention discloses a solar energy collecting board, belonging to the field of solar energy utilization. The solar energy collecting board comprises a bracket and a solar collecting board arranged on the bracket, wherein the outside surface of the solar collecting board is conical. The solar energy collecting board is designed to an array configuration. By adopting the invention, the collecting area of the solar energy and the output power of the solar power generation device are increased on the limited floor space; and most of the scattered light and reflected light of the sunlight are absorbed by the neighboring surface of the solar collecting board, thus increasing the utilization rate of the solar energy.",H02S30/10,Y02E10/50,cited_by:1 | cites:0,2011
160-674-046-195-812,Solar energy comprehensive utilization device and control method,"The invention provides a solar energy comprehensive utilization device and a control method, and relates to the technical field of new energy. According to the invention, the fixing frame is arranged around the solar photovoltaic panel, so that the solar photovoltaic panel can rotate around the central axis of the fixing frame, and therefore, when power grid absorption is difficult, the solar photovoltaic panel can be rotated, direct radiation of the solar photovoltaic panel can be reduced, output power of the solar photovoltaic panel can be reduced, and adjustment capability of new energy can be improved; when the power grid supply is insufficient, the solar photovoltaic panel can be rotated to increase the direct radiation of the solar photovoltaic panel, increase the output power of the solar photovoltaic panel, and improve the adjustment capability of the new energy. A water tank is further arranged on the back face of the solar photovoltaic panel, when the solar photovoltaic panel inclines or turns over, the water tank absorbs solar energy and converts the solar energy into heat energy and chemical energy, the solar energy is fully utilized, and the utilization rate of the solar energy is increased.",H02S20/30; F24S30/42; H02J3/38; H02S30/10; H02S40/44,F24S30/42; H02J3/38; H02J2101/24; H02S20/30; H02S30/10; H02S40/44,cited_by:0 | cites:0,2024
067-893-314-562-842,Solar bicycle,"The invention provides a solar bicycle, which comprises a bicycle body, a DC motor and a storage battery, wherein the DC motor and the storage battery are arranged on the bicycle body; the solar bicycle further comprises an automatically-adjusting solar energy collection system, wherein the automatically-adjusting solar energy collection system is arranged on the bicycle body, and the automatically-adjusting solar energy collection system is connected with the storage battery by means of a control circuit. Compared with the prior art, electric energy is provided to a power system of the solarbicycle finally by means of the automatically-adjusting solar energy collection system, efficient conversion of solar energy is realized, the utilization efficiency of solar energy is improved, the energy recourse is saved, the structure is simple, energy consumption can be reduced, and the cost is saved. The automatically-adjusting solar energy collection system can automatically complete the collection of solar energy; a solar tube can be adjusted according to time and sunlight illumination angles, and the utilization and conversion efficiency of the solar energy can be effectively improved;and the solar bicycle has the advantages of simple structure, low manufacturing cost, high popularization performance, and wide application range.",G05D3/12; B62J99/00; H02S10/20; H02S20/32,G05D3/12; B62J45/00; B62J99/00; H02S10/20; H02S20/32; Y02E10/50; Y02E70/30,cited_by:2 | cites:0,2018
028-196-064-629-785,PORTABLE MODULAR SUN TRACKING SOLAR ENERGY RECEIVER SYSTEM,A portable solar energy generation system has a solar energy receiver having a plurality of solar cells for converting solar energy into a DC voltage. A solar tracking mechanism enables the solar energy receiver to track a position of the sun with respect to the solar cells and to position the solar cells responsive thereto. Power circuitry generates at least one output voltage to power an electronic device responsive to the DC voltage. A housing contains each of the solar energy receiver the solar tracking mechanism and the power circuitry in a portable configuration.,F24S50/20; H01L31/042,H02S10/00; H02S20/00; H02S40/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50; H02J7/00; H02J7/35; H02S10/40; H02S20/00; H02S20/30; H02S20/32; H02S30/20; Y02E10/50,cited_by:0 | cites:0,2015
